Potency Qualifier	Potency vs Parasite (uMol)	Ion Regulation Activity	Ion Regulation Test Set	Smiles	InChI	IChI Key	Origin	ID: OSM Code	ID: MMV	ID: Internal OSM	ID: PubChem	ID: Chembl	ID: Commercial	ID: Other	Single Shot Inhibition %	Alternative EC50 from Chembl (uM)
	0.00044	1	Lit	C[C@@H](C1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC(F)=C(Cl)C=C5N4	InChI=1S/C19H14Cl2FN3O/c1-8-4-11-10-6-14(22)13(21)7-16(10)23-17(11)19(25-8)12-5-9(20)2-3-15(12)24-18(19)26/h2-3,5-8,23,25H,4H2,1H3,(H,24,26)/t8-,19+/m0/s1	CKLPLPZSUQEDRT-WPCRTTGESA-N	Novartis							KAE609 NITD609		
	0.0007	1	Lit				Vaidya							PA21A050		
	0.0053	0	M	COc1ccccc1N=C2C(=O)c3ccccc3C(=C2N4CCCCC4)O	InChI=1S/C22H22N2O3/c1-27-18-12-6-5-11-17(18)23-19-20(24-13-7-2-8-14-24)22(26)16-10-4-3-9-15(16)21(19)25/h3-6,9-12,26H,2,7-8,13-14H2,1H3	CKMFSEFIICIERE-UHFFFAOYSA-N	Mbox		MMV085203			GNF-Pf-4450				0.02802
	0.00671	0	M	Cc1cc(Nc2ccc(C)c(Cl)c2)n3nc(nc3n1)C(F)(F)F	InChI=1S/C14H11ClF3N5/c1-7-3-4-9(6-10(7)15)20-11-5-8(2)19-13-21-12(14(16,17)18)22-23(11)13/h3-6,20H,1-2H3	VLUCXPDTWDLJRX-UHFFFAOYSA-N	Mbox		MMV665874			TCMDC-124919				0.015802193
	0.013	1	Lit				Vaidya							PA21A092		
	0.01533333333			O=C(N=C(S/1)N(C(C)=O)C2=CC=CC=C2)C1=C\C3=C(C)N(C4=CC=C(C=C4)C(F)(F)F)C(C)=C3	InChI=1S/C25H20F3N3O2S/c1-15-13-18(16(2)30(15)21-11-9-19(10-12-21)25(26,27)28)14-22-23(33)29-24(34-22)31(17(3)32)20-7-5-4-6-8-20/h4-14H,1-3H3/b22-14-	KOJDOQBSBJSPKC-HMAPJEAMSA-N	OSM S1	OSM-S-45		ZYH12	57515647					
	0.01668		B	FC(C=C1)=C(F)C=C1[C@@H](OC(F)F)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32	InChI=1S/C21H13F4N5O2/c22-15-6-5-14(7-16(15)23)17(32-21(24)25)11-31-19-10-27-9-18-28-29-20(30(18)19)13-3-1-12(8-26)2-4-13/h1-7,9-10,17,21H,11H2/t17-/m0/s1	LHSRVKYAEUESTK-KRWDZBQOSA-N	OSM S4	OSM-S-377	MMV670652							
	0.02	1?	Lit				Guy							SJ311		
	0.0202	1	M	COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1Cl	InChI=1S/C25H25ClN2O3S/c1-15(2)14-28-23(21-9-6-12-32-21)22(17-7-4-5-8-18(17)25(28)30)24(29)27-16-10-11-20(31-3)19(26)13-16/h4-13,15,22-23H,14H2,1-3H3,(H,27,29)	ZVEVUZGCZYQIMB-UHFFFAOYSA-N	Mbox		MMV000642			GNF-Pf-5511;SJ000101241				0.0914;0.1188
	0.022	1	Lit	C[C@@H](CC1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC=CC=C5N4	InChI=1S/C20H18ClN3O/c1-11-6-8-14-13-4-2-3-5-16(13)22-18(14)20(24-11)15-10-12(21)7-9-17(15)23-19(20)25/h2-5,7,9-11,22,24H,6,8H2,1H3,(H,23,25)/t11-,20+/m0/s1	VLGARHNNCOWEGF-PRWKNARSSA-N	Novartis							KAE678 NITD678		
	0.0226	0	M	Oc1ccccc1CNCC23CC4CC(CC(C4)C2)C3	InChI=1S/C18H25NO/c20-17-4-2-1-3-16(17)11-19-12-18-8-13-5-14(9-18)7-15(6-13)10-18/h1-4,13-15,19-20H,5-12H2	PHHQJRNBHFUTSH-UHFFFAOYSA-N	Mbox		MMV020788			TCMDC-125554				0.278742569
	0.0238	0	M	COc1cccc(C=CC2=NC(=O)c3ccccc3O2)c1OC	InChI=1S/C18H15NO4/c1-21-15-9-5-6-12(17(15)22-2)10-11-16-19-18(20)13-7-3-4-8-14(13)23-16/h3-11H,1-2H3	WFECTHLZLLOZSO-UHFFFAOYSA-N	Mbox		MMV666693			TCMDC-124577				0.064397887
