Potency vs Parasite (uMol),Ion Regulation Activity,Ion Regulation Test Set,Smiles
0.00044,1,Lit,C[C@@H](C1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC(F)=C(Cl)C=C5N4
0.0053,0,M,COc1ccccc1N=C2C(=O)c3ccccc3C(=C2N4CCCCC4)O
0.00671,0,M,Cc1cc(Nc2ccc(C)c(Cl)c2)n3nc(nc3n1)C(F)(F)F
0.0202,1,M,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1Cl
0.022,1,Lit,C[C@@H](CC1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC=CC=C5N4
0.0226,0,M,Oc1ccccc1CNCC23CC4CC(CC(C4)C2)C3
0.0238,0,M,COc1cccc(C=CC2=NC(=O)c3ccccc3O2)c1OC
0.0248,0,M,Cc1ccc(cc1)N2C3N(c4ccccc4C2N(c5ccccc35)S(=O)(=O)c6ccc(C)cc6)S(=O)(=O)c7ccc(C)cc7
0.025,0,A,CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=CC=C4
0.0255,0,M,CC1CN(CC(C)O1)C(=O)c2sc3ccccc3c2Cl
0.03,1,Lit,O=C1C2=CC=CC=C2[C@H](C(NC3=CC(C#N)=C(F)C=C3)=O)[C@@H](C4=CN=CC=C4)N1CC(F)(F)F
0.0328,1,M,CC(C)CN1C(C(C(=O)Nc2cc(C)on2)c3ccccc3C1=O)c4cccs4
0.0367,1,M,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1
0.0368,0,M,C(c1ccccc1)n2c(N=Nc3c(Nc4ccccc4)ccc5ccccc35)nc6ccccc26
0.0423,0,M,COc1ccc2nccc(C(O)C3CC4(CCN3CC4)C=C)c2c1
0.0515,0,M,CN(C)c1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
0.0581,0,M,c(c(ccn1)NCCN(CC)CC)(ccc(Cl)c2)c12
